REPORTING.YEAR,FACILITY.NAME,FACILITY.CITY,FACILITY.COUNTY,FACILITY.STATE,FACILITY.ZIP.CODE,PRIMARY.NAICS.CODE,LATITUDE,LONGITUDE,PARENT.COMPANY.NAME,CHEMICAL.NAME,TOTAL.AIR.EMISSIONS,TOTAL.UNDERGROUND.INJECTION,TOTAL.ON.SITE.LAND.RELEASES,TOTAL.TRANSFERRED.OFF.SITE.TO.DISPOSAL,TOTAL.SURFACE.WATER.DISCHARGE,TRANSFERS.TO.POTWS..METALS.AND.METAL.COMPOUNDS.,Chemical,CERCLA.Chemicals,HAPs,Metals.and.Metal.Compounds,PBT.Chemicals,Priority.Chemicals,OSHA.Chemicals,Other.Health.Effects,Body.Weight,Cardiovascular,Dermal,Developmental,Endocrine,Gastrointestinal,Hematological,Hepatic,Immunological,Metabolic,Musculoskeletal,Neurological,Ocular,Other.Systemic,Renal,Reproductive,Respiratory,Human.health.effects.information.not.identified,Acute,Intermediate,Chronic
2006,ALBAR INDUSTRIES INC,LAPEER,LAPEER,MI,48446,326199,43.042,-83.30926,,XYLENE (MIXED ISOMERS),10605,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2013,MAGNABLEND INC-LIQUID PLANT,WAXAHACHIE,ELLIS,TX,75165,325998,32.47502,-96.83353,MAGNABLEND INC,CERTAIN GLYCOL ETHERS,29939,0,0,6545,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2010,PERMA-PIPE OIL & GAS,NEW IBERIA,IBERIA,LA,70560,326150,29.945283,-91.84474,MFRI INC,CERTAIN GLYCOL ETHERS,44415,0,0,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2007,ESSROC CEMENT CORP,LOGANSPORT,CASS,IN,46947,327310,40.734521,-86.433441,ESSROC CEMENT CORP,DICHLOROMETHANE,17019,0,0,0,0,0,DICHLOROMETHANE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES
2009,BENJAMIN MOORE & CO-MILFORD,MILFORD,WORCESTER,MA,1757,325510,42.14703,-71.51707,BERKSHIRE HATHAWAY INC,XYLENE (MIXED ISOMERS),64017,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2010,INTERMOUNTAIN POWER GENERATING STATION,DELTA,MILLARD,UT,84624,221112,39.503504,-112.581147,INTERMOUNTAIN POWER AGENCY,AMMONIA,42145,0,250,0,0,0,AMMONIA,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES
2008,TRINITY STRUCTURAL TOWERS INC PLT 8495,CLINTON,DE WITT,IL,61727,332312,40.177947,-88.95531,TRINITY INDUSTRIES INC,MANGANESE COMPOUNDS,29939,0,0,76251,0,0,MANGANESE COMPOUNDS,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,NEW YORK AIR BRAKE LLC,WATERTOWN,JEFFERSON,NY,13601,,43.985571,-75.891521,KNORR BRAKE HOLDING CO,COPPER,5482,0,0,151,0,27,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2003,LEGGETT & PLATT INC,WHITTIER,LOS ANGELES,CA,90602,337124,33.97293,-118.04742,LEGGETT & PLATT INC,NICKEL,5482,0,0,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2005,ATLAS HYDRAULICS INC PACE MANUFACTURING DIV,BRANDON,MINNEHAHA,SD,57005,332912,43.58811,-96.59104,,LEAD,5482,0,0,0,0,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2012,STYROLUTION AMERICA LLC,CHANNAHON,WILL,IL,604105222,325211,41.41354,-88.19666,STYROLUTION AMERICA LLC,ZINC COMPOUNDS,28852,0,0,1712,24,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2003,MOMENTIVE SPECIALTY CHEMICALS INC - DIBOLL SITE,DIBOLL,ANGELINA,TX,75941,325211,31.19877,-94.78368,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC,AMMONIA,29939,0,0,0,0,0,AMMONIA,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES
2004,SOUTHWESTERN PUBLIC SERVICE CO TOLK STATION,EARTH,LAMB,TX,79031,221112,34.185,-102.5675,XCEL ENERGY,MANGANESE COMPOUNDS,53937,0,9,35000,0,0,MANGANESE COMPOUNDS,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,TECHNICAL INDUSTRIES INC,SOUTH KINGSTOWN,WASHINGTON,RI,2879,325998,41.448022,-71.497869,,ZINC COMPOUNDS,1,NA,NA,0,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2006,SIKA CORP,LYNDHURST,BERGEN,NJ,7071,325520,40.804739,-74.109004,SIKA CORP,ETHYLBENZENE,55723,0,0,0,0,0,ETHYLBENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES
2009,SAPA EXTRUSIONS INC,YANKTON,YANKTON,SD,57078,331316,42.891667,-97.35,SAPA INC,ETHYLBENZENE,61322,0,0,0,0,0,ETHYLBENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES
2003,CLEAN HARBORS DEER PARK LLC,LA PORTE,HARRIS,TX,77571,562000,29.73027,-95.09146,CLEAN HARBORS INC,BENZOIC TRICHLORIDE,27895,0,0,0,0,0,BENZOIC TRICHLORIDE,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2010,SHERWIN-WILLIAMS CO,ANDOVER,BUTLER,KS,67002,325510,37.709218,-97.129265,THE SHERWIN-WILLIAMS CO,METHYL ISOBUTYL KETONE,46773,0,0,0,0,0,METHYL ISOBUTYL KETONE,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2011,CUSTOM PROCESSING SERVICES LLC,EAST GREENVILLE,MONTGOMERY,PA,18041,327992,40.40544,-75.50862,,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),17287,0,0,58625,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2014,PREMIUM ALLIED TOOL INC,PHILPOT,DAVIESS,KY,42366,332119,37.73491,-87.00282,,MANGANESE,1,NA,NA,0,0,0,MANGANESE,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2009,BP PRODUCTS NA INC CINCINNATI TERMINAL,CINCINNATI,HAMILTON,OH,45229,424710,39.1702,-84.4822,BP PRODUCTS N.A. INC,NAPHTHALENE,5482,0,0,0,0,0,NAPHTHALENE,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES
2009,UNION CITY NON-FERROUS INC,UNION CITY,DARKE,OH,45390,331528,40.19855,-84.79543,LAURENCE ROSS,ZINC COMPOUNDS,6480,0,0,5,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2004,ARROWHEAD CONVEYOR CORP,OSHKOSH,WINNEBAGO,WI,54902,333922,43.97877,-88.55074,ARROWHEAD SYSTEMS INC,NICKEL,5482,0,0,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2007,HUNTING ENERGY SERVICES,BROUSSARD,IBERIA,LA,70518,332999,30.072567,-91.940344,HUNTING ENERGY SERVICES INC,MANGANESE,5482,0,0,0,0,0,MANGANESE,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,PERMATEX SOLON,SOLON,CUYAHOGA,OH,44139,325000,41.37427,-81.45163,ILLINOIS TOOL WORKS INC,XYLENE (MIXED ISOMERS),39909,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2012,HERSHEY CO WEST HERSHEY PLANT,HERSHEY,DAUPHIN,PA,17033,311330,40.274785,-76.678948,HERSHEY CO,NITRATE COMPOUNDS,5482,0,0,0,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,PETRODIAMOND TERMINAL CO,LONG BEACH,LOS ANGELES,CA,90813,424710,33.776551,-118.220313,,ETHYLBENZENE,1,NA,NA,0,0,0,ETHYLBENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES
2003,SAFETY-KLEEN SYSTEMS INC,LEXINGTON,LEXINGTON,SC,29073,562920,33.973018,-81.197467,CLEAN HARBORS INC,POLYCYCLIC AROMATIC COMPOUNDS,5482,0,0,0,0,0,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2010,ROCKY MOUNTAIN METAL CONTAINER,GOLDEN,JEFFERSON,CO,804010030,332431,39.7667,-105.1949,,HYDROGEN FLUORIDE,1,NA,NA,0,0,0,HYDROGEN FLUORIDE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES
2003,VIASYSTEMS TECHNOLOGIES CORP LLC,FOREST GROVE,WASHINGTON,OR,97116,334412,45.512716,-123.081816,VIASYSTEMS GROUP INC,NITRIC ACID,5482,0,0,0,0,0,NITRIC ACID,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2013,GOLDEN TRIANGLE ENERGY LLC,CRAIG,HOLT,MO,64437,312140,40.18925,-95.36789,GOLDEN TRIANGLE ENERGY LLC,NITRATE COMPOUNDS,5482,0,400,0,34,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,AMERICAN WOODMARK-HARDY COUNTY PLANT,MOOREFIELD,HARDY,WV,26836,337110,39.04111,-78.98722,AMERICAN WOODMARK CORP,N-BUTYL ALCOHOL,33746,0,0,0,0,0,N-BUTYL ALCOHOL,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES
2012,CEMEX CONSTRUCTION MATERIALS PACIFIC LLC,VICTORVILLE,SAN BERNARDINO,CA,92394,327310,34.5534,-117.3031,CEMEX USA,MERCURY,26523,0,0,0,0,0.03,MERCURY,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES
2006,STI POLYMER INC,SANFORD,LEE,NC,27330,325211,35.54968,-79.18256,,BUTYL ACRYLATE,38568,0,0,0,0,0,BUTYL ACRYLATE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2003,DELTA FAUCET OF OKLAHOMA,CHICKASHA,GRADY,OK,73018,332913,35.06703,-97.97855,MASCO CORP,NITRIC ACID,6480,0,0,0,0,0,NITRIC ACID,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2005,GERDAU SPECIAL STEEL NA,JACKSON,JACKSON,MI,49203,,42.202661,-84.363023,GERDAU MACSTEEL INC,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),30071,0,0,3267,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2013,YARNELL OPERATIONS LLC,SEARCY,WHITE,AR,72143,311520,35.24727,-91.7382,SCHULZE & BURCH BISCUIT CO,AMMONIA,5482,0,0,0,0,0,AMMONIA,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES
2011,ENGINEERED POLYMER SOLUTIONS INC D/B/A VALSPAR COATINGS,HIGH POINT,GUILFORD,NC,27262,325510,35.945162,-80.022598,THE VALSPAR CORP,COPPER COMPOUNDS,1,NA,NA,0,0,0,COPPER COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2011,GOODWIN CO,GARDEN GROVE,ORANGE,CA,928412908,325611,33.78281,-118.00642,GOODWIN CO,ETHYLENE GLYCOL,43060,0,0,0,0,0,ETHYLENE GLYCOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES
2005,INGALLS SHIPBUILDING PASCAGOULA OPERATIONS,PASCAGOULA,JACKSON,MS,395680149,336611,30.345083,-88.577778,HUNTINGTON INGALLS INDUSTRIES,"1,2,4-TRIMETHYLBENZENE",36816,0,0,0,0,0,1 2 4-TRIMETHYLBENZENE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2013,ERGON ASPHALT & EMULSIONS INC - MEMPHIS,MEMPHIS,SHELBY,TN,38113,324121,35.09101,-90.10933,ERGON INC,POLYCYCLIC AROMATIC COMPOUNDS,5482,0,0,0,0,0,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2012,MOR/RYDE INTERNATIONAL INC,ELKHART,ELKHART,IN,46514,332999,41.70164,-85.95442,MOR/RYDE INTERNATIONAL INC,NICKEL COMPOUNDS,5482,0,0,0,0,0.743,NICKEL COMPOUNDS,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2004,QUEBECOR WORLD DALLAS INC,DALLAS,DALLAS,TX,75244,323111,32.938611,-96.827772,QUEBECOR WORLD,COPPER COMPOUNDS,5482,0,0,54.44,0,5,COPPER COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
2005,AMVAC CHEMICAL CO,AXIS,MOBILE,AL,36505,325320,30.951733,-88.018265,AMERICAN VANGUARD CORP,NALED,6480,0,0,0,0,0,NALED,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES
2008,SPI SONORA DIV,SONORA,TUOLUMNE,CA,95370,321113,37.961429,-120.316911,SIERRA PACIFIC INDUSTRIES,DIOXIN AND DIOXIN-LIKE COMPOUNDS,6.265432099,0,0,0,0,0,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES
2007,BRISTOL-MYERS SQUIBB CO,EAST SYRACUSE,ONONDAGA,NY,13057,325414,43.064805,-76.085217,BRISTOL-MYERS SQUIBB CO,NITRATE COMPOUNDS,5482,0,0,0,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2009,WM BARR & CO INC,MEMPHIS,SHELBY,TN,38113,325510,35.08858,-90.1109,WM BARR & CO INC,DICHLOROMETHANE,23568,0,0,0,0,0,DICHLOROMETHANE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES
2013,BROOKS AUTOMATION INC,PETALUMA,SONOMA,CA,949545673,333415,38.23168,-122.58729,BROOKS AUTOMATION INC,DIISOCYANATES,5482,0,0,0,0,0,DIISOCYANATES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
2006,HYDRO-GEAR,SULLIVAN,MOULTRIE,IL,61951,333996,39.58419,-88.6095,HYDRO-GEAR,ZINC COMPOUNDS,1,NA,NA,0,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2014,LIGNOTECH USA INC,ROTHSCHILD,MARATHON,WI,54474,325194,44.88874,-89.62693,LIGNOTECH USA INC,METHANOL,1,NA,NA,0,0,0,METHANOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES
2009,PUREPOWER TECHNOLOGIES-METALCASTINGS GROUP A NAVISTAR CO,WAUKESHA,WAUKESHA,WI,53187,331511,43.0193,-88.2167,NAVISTAR INTERNATIONAL CORP,DIISOCYANATES,1,NA,NA,0,0,0,DIISOCYANATES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
2006,ARMTEC DEFENSE PRODUCTS CO,COACHELLA,RIVERSIDE,CA,92236,332995,33.663931,-116.16593,ESTERLINE TECHNOLOGIES,XYLENE (MIXED ISOMERS),47801,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2012,COOPER POWER SYSTEMS LLC,WAUKESHA,WAUKESHA,WI,53188,335311,42.9935,-88.26879,EATON ELECTRIC HOLDINGS LLC,NICKEL,1,NA,NA,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2013,FRONTIER LOGISTICAL SERVICES LLC,LOUISVILLE,JEFFERSON,KY,40211,424690,38.21047,-85.828114,FRONTIER LOGISTICAL SERVICES LLC.,N-HEXANE,5482,0,0,0,0,0,N-HEXANE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2014,WYETH PHARMACEUTICALS,PEARL RIVER,ROCKLAND,NY,10965,325412,41.0768,-74.0181,PFIZER INC,NAPHTHALENE,1,NA,NA,0,0,0,NAPHTHALENE,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES
2008,METAL FINISHING RESEARCH CORP,CHICAGO,COOK,IL,60609,325998,41.821037,-87.633174,HEATBATH CORP,NITRATE COMPOUNDS,41753,0,0,22,0,0,NITRATE COMPOUNDS,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,MAPEI CORP,WEST CHICAGO,DUPAGE,IL,60185,,41.891798,-88.235273,MAPEI CORP,"1,2,4-TRIMETHYLBENZENE",20172,0,0,0,0,0,1 2 4-TRIMETHYLBENZENE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2005,GEMINI COATINGS INC,EL RENO,CANADIAN,OK,73036,325510,35.511387,-97.949787,GEMINI INDUSTRIES INC,XYLENE (MIXED ISOMERS),26317,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2013,MUELLER CO,CHATTANOOGA,HAMILTON,TN,37406,331511,35.085701,-85.255203,MUELLER WATER PRODUCTS INC,NICKEL,5482,0,37,0,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2006,GULF OIL LP NEVILLE ISLAND TERMINAL,PITTSBURGH,ALLEGHENY,PA,15225,424710,40.49888,-80.08511,GULF OIL LP,NAPHTHALENE,47627,0,0,0,0,0,NAPHTHALENE,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES
2013,DEER PARK REFINING LP,DEER PARK,HARRIS,TX,77536,324110,29.722222,-95.126944,DEER PARK REFINING LP,MOLYBDENUM TRIOXIDE,5482,0,0,0,0,0,MOLYBDENUM TRIOXIDE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2006,SCHNEIDER ELECTRIC USA,LINCOLN,LANCASTER,NE,685121290,335313,40.76466,-96.69692,SCHNEIDER ELECTRIC USA INC,ZINC COMPOUNDS,6480,0,0,0,0,5,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2004,CORNERSTONE CHEMICAL CO-(FORTIER CHEM MFG COMPLEX),WAGGAMAN,JEFFERSON,LA,700942040,325199,29.958889,-90.270472,HIG BBC HOLDINGS,LEAD,5482,0,0,0.5,0,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2013,FLURY FOUNDRY CO,LANCASTER,LANCASTER,PA,17601,331529,40.05475,-76.29988,,COPPER,22513,0,0,211,0,0,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2011,DURA COAT PRODUCTS INC,RIVERSIDE,RIVERSIDE,CA,92509,325510,34.01669,-117.37927,DURA COAT PRODUCTS INC,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),5482,0,0,2653,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2006,RICH MAID KABINETRY LLC,MYERSTOWN,LEBANON,PA,17067,337110,40.36921,-76.33838,,TOLUENE,29939,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2006,IOWA CONTRACT FABRICATORS INC,RICEVILLE,HOWARD,IA,50466,336211,43.34004,-92.55359,OSHKOSH CORP,TOLUENE,63125,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2014,HOCKING INTERNATIONAL LABS LLC,YORK,YORK,PA,17406,325314,40.03362,-76.73076,HOCKING INTERNATIONAL LABS INC,CERTAIN GLYCOL ETHERS,1,NA,NA,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2014,CHEVRON RICHMOND TECHNOLOGY CENTER,RICHMOND,CONTRA COSTA,CA,94802,541712,37.93987,-122.39437,CHEVRON CORP,XYLENE (MIXED ISOMERS),39321,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
